unitact,maricious
"['e3','j3','f1']",1
"['a1','i2','b1']",1
"['c1','d1','c1','f1']",1
"['b1','c1','b1','f1']",1
"['a1','i1','b1','f1']",1
"['i2','d2','c2']",1
"['g4','d1','c1','a1','a1','i1','b1','b1','f1']",1
"['f1','g4','c1','f1']",1
"['g4','d2','f1','f1','f1']",1
"['g4','c1','d1','a1','b1','a1','i1','b1','f1']",1
"['g4','c1','d1','b1','a1','i1','b1','f1']",1
"['g4','c1','d1','a1','a1','i1','b1','f1','h4']",1
"['a1','i2','b1','g4']",1
"['f3','j3','f1','h4']",1
"['f1','d2','c2']",1
"['f1','g4','d2','h4','g4','c2']",1
"['f1','d2','g4','c2']",1
"['e1','g4','d2','c2']",1
"['f1','g4','d2','h4','c2']",1
"['f1','d2','h4','c2']",1
"['f1','g4','d2','c2']",1
"['f1','d2','h4','g4','g4','c2']",1
"['e1','d2','c2','a1','b1']",1
"['f1','d2','#','c2']",1
"['f1','g4','d2','h4','#','g4','d2']",1
"['f1','d2','h4','#','c2']",1
"['f1','g4','d2','#','g4','c2']",1
"['i3','i1','a1','c3','d1','b1']",0
"['i1','i1','a1','c1','d1','b1']",0
"['i1','#','a1','c1','d1','b1']",0
"['i1','#','a1','c1','d1','b1']",0
"['i3','a1','c3','d1','h4']",0
"['i3','a1','c3','#','d1','b1']",0
"['i3','c3','g4','d3','h4']",0
"['i3','c3','d3','h4']",0
"['f3','e1','d1']",0
"['f1','e1','d1']",0
"['c1','d1']",0
"['c1','d3']",0
